"Name","architecture","_wandb","test_cosine_similarity"
"architecture: Linear","Linear","","0.16233211755752563"
"architecture: Linear","Linear","","0.1489054262638092"
"architecture: Linear","Linear","","0.20678001642227173"
"architecture: Linear","Linear","","0.14721179008483887"
"architecture: Linear","Linear","","0.18674951791763303"
"architecture: Linear","Linear","","0.16720426082611084"
"architecture: Linear","Linear","","0.16612930595874786"
"architecture: Linear","Linear","","0.19552837312221527"
"architecture: Linear","Linear","","0.13650734722614288"
"architecture: Linear","Linear","","0.1859862059354782"
"architecture: Linear","Linear","","0.13222254812717438"
"architecture: FNN","FNN","","0.0979422926902771"
"architecture: FNN","FNN","","0.08552822470664978"
"architecture: FNN","FNN","","0.103462815284729"
"architecture: FNN","FNN","","0.10217845439910889"
"architecture: FNN","FNN","","0.13433890044689178"
"architecture: FNN","FNN","","0.1105607897043228"
"architecture: FNN","FNN","","0.10318604111671448"
"architecture: FNN","FNN","","0.1462668925523758"
"architecture: FNN","FNN","","0.09630468487739564"
"architecture: FNN","FNN","","0.111470565199852"
"architecture: FNN","FNN","","0.11585497111082076"
"architecture: CNNLSTM","CNNLSTM","","0.18857894837856293"
"architecture: CNNLSTM","CNNLSTM","","0.1938134878873825"
"architecture: CNNLSTM","CNNLSTM","","0.0720692053437233"
"architecture: CNNLSTM","CNNLSTM","","-0.00006039829895598814"
"architecture: CNNLSTM","CNNLSTM","","0.12121877074241638"
"architecture: CNNLSTM","CNNLSTM","","0.1090591549873352"
"architecture: CNNLSTM","CNNLSTM","","-0.0665726512670517"
"architecture: CNNLSTM","CNNLSTM","","-0.04158414155244827"
"architecture: CNNLSTM","CNNLSTM","","0.07079607993364334"
"architecture: CNNLSTM","CNNLSTM","","0.00702285673469305"
"architecture: CNN","CNN","","0.0063881343230605125"
"architecture: CNN","CNN","","-0.04065096750855446"
"architecture: CNN","CNN","","-0.007243782747536898"
"architecture: CNN","CNN","","0.022245747968554497"
"architecture: CNN","CNN","","0.10258379578590392"
"architecture: CNN","CNN","","0.14429616928100586"
"architecture: CNN","CNN","","0.034152451902627945"
"architecture: CNN","CNN","","0.11093798279762268"
"architecture: CNN","CNN","","0.015112888999283314"
"architecture: CNN","CNN","","0.04742114245891571"
