"Name","architecture","_wandb","test_cosine_similarity"
"architecture: Linear","Linear","","0.10959278047084808"
"architecture: Linear","Linear","","0.04809345677495003"
"architecture: Linear","Linear","","0.12023677676916122"
"architecture: Linear","Linear","","0.1078951209783554"
"architecture: Linear","Linear","","0.09714242815971376"
"architecture: Linear","Linear","","0.0932508036494255"
"architecture: Linear","Linear","","0.026049481704831123"
"architecture: Linear","Linear","","0.023520924150943756"
"architecture: Linear","Linear","","0.04102089628577232"
"architecture: Linear","Linear","","0.07351192086935043"
"architecture: Linear","Linear","","0.08353601396083832"
"architecture: FNN","FNN","","0.02635275200009346"
"architecture: FNN","FNN","","0.07948512583971024"
"architecture: FNN","FNN","","0.05706017091870308"
"architecture: FNN","FNN","","0.027525654062628743"
"architecture: FNN","FNN","","0.07146848738193512"
"architecture: FNN","FNN","","0.03934859484434128"
"architecture: FNN","FNN","","0.012177083641290665"
"architecture: FNN","FNN","","0.0482371598482132"
"architecture: FNN","FNN","","0.0068854377605021"
"architecture: FNN","FNN","","0.056429266929626465"
"architecture: FNN","FNN","","0.04156303033232689"
"architecture: CNNLSTM","CNNLSTM","","0.252532035112381"
"architecture: CNNLSTM","CNNLSTM","","0.06936264783143997"
"architecture: CNNLSTM","CNNLSTM","","-0.017296625301241875"
"architecture: CNNLSTM","CNNLSTM","","-0.020352913066744804"
"architecture: CNNLSTM","CNNLSTM","","0.09276977181434631"
"architecture: CNNLSTM","CNNLSTM","","0.055861540138721466"
"architecture: CNNLSTM","CNNLSTM","","0.039151545614004135"
"architecture: CNNLSTM","CNNLSTM","","0.17575447261333466"
"architecture: CNNLSTM","CNNLSTM","","-0.07475349307060242"
"architecture: CNNLSTM","CNNLSTM","","-0.005475783254951239"
"architecture: CNN","CNN","","-0.09502661228179932"
"architecture: CNN","CNN","","0.0033557808492332697"
"architecture: CNN","CNN","","0.03584875911474228"
"architecture: CNN","CNN","","0.17237845063209534"
"architecture: CNN","CNN","","0.08402130752801895"
"architecture: CNN","CNN","","0.09012485295534134"
"architecture: CNN","CNN","","-0.05232277512550354"
"architecture: CNN","CNN","","-0.11471214145421982"
"architecture: CNN","CNN","","0.19832292199134827"
"architecture: CNN","CNN","","0.0442778654396534"
